曲柄摇杆机构_	Crank_rocker_mechanism
双曲柄机构_	Hyperbolic_handle_mechanism
平行四杆机构_	Parallel_four-bar_mechanism
连杆上A点的轨迹_	Trajectory_of_point_A_on_the_connecting_rod
从动曲柄逆转_	Reverse_rotation_of_driven_crank
三联平行四边形机构_	Triple_parallelogram_mechanism
双摇杆机构_	Dual_joystick_mechanism
用一对齿轮副驱动双摇杆机构_	Drive_a_dual_rocker_mechanism_with_a_pair_of_gear_pairs
曲柄滑块机构_	Crank_slider_mechanism
转动导杆机构_	Rotating_guide_rod_mechanism
导杆主动从动杆变速_	Active_shift_of_guide_rod_and_driven_rod
曲柄摇块机构_	Crank_rocker_slider_mechanism
移动导杆机构	Mobile_guide_rod_mechanism
摆动导杆机构	oscillating_guide-bar_mechanism
双滑块机构	double-slider_mechanism
转动导杆与摆动导杆串接机构	Rotating_guide_rod_and_swinging_guide_rod_series_connection_mechanism
双导杆间歇机构	Dual_guide_intermittent_mechanism
曲柄摇杆导杆-正弦机构	Crank_rocker_guide_rod_-_sine_mechanism
曲柄摇块滑块三级机构	Crank_rocker_block_slider_three-level_mechanism
曲柄摇杆滑块三级机构	Crank_rocker_slider_three-level_mechanism
摆动导杆与双滑块机构	Swing_guide_rod_and_double_slider_mechanism
曲柄滑块与转动导杆串接机构	Crank_slider_and_rotating_guide_rod_series_connection_mechanism
输出摆杆有停歇的铰链连杆机构	The_output_swing_rod_has_a_resting_hinge_linkage_mechanism
双曲柄与转动导杆串接机构	Double_crank_and_rotating_guide_rod_series_connection_mechanism
摆杆极限位置可调节的铰链六杆机构	Adjustable_hinge_six_bar_mechanism_with_swing_rod_limit_position
输入输出均为转动导杆机构	Both_input_and_output_are_rotating_guide_rod_mechanisms
直线运动机构	Linear_motion_mechanism
可实现单侧停歇的摆动导杆机构	Swing_guide_rod_mechanism_that_can_achieve_unilateral_stopping
从动件在极限位置有较长时间停歇	The_driven_component_stops_for_a_long_time_at_the_extreme_position
输出构件作间歇运动	Intermittent_motion_of_output_components
齿轮正弦机构	Gear_sine_mechanism
正反转销驱动摆杆机构	Positive_and_negative_rotation_driven_swing_rod_mechanism
翻转机构	Flip_mechanism
双偏心驱动导杆机构	Double_eccentric_drive_guide_rod_mechanism
凸轮与转动导杆组合机构	Combination_mechanism_of_cam_and_rotating_guide_rod
